company,stand,status,description,website,detail_url
2EMOTION - VIDEO IA,Q51,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/2emotion-video-ia
33 TRUCS,H102,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/33-trucs
360LEARNING,C60,Platinum,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/360learning
3E INNOVATION,J102,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/3e-innovation
7SPEAKING SAS,F84,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/7speaking
7TAPS MICROLEARNING,F111,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/7taps-microlearning
8GAMELEARN,H107,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/8gamelearn
ACADEMIC SOFTWARE,H112,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/academic-software
ACTUENLIGNE / BOMBADIL,P73,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/bombadil-actuenligne
AI CRAFTERS,H71,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/ai-crafters
AKKODIS,G85,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/akkodis
ALBUS FACTORY,M30,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/albus-factory
ALEGRIA.GROUP,F112,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/alegriagroup
ALTHERIA,F100,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/altheria
ALTISSIA,E41,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/altissia
ALTISSIMA GROUP,F40,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/altissima-group
AMMON,N45,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/val-software
ANEMON SMS LEARNING,H104,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/anemon-sms-learning
ANTILOGY,L75,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/antilogy
APOLEARN,C50,Platinum,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/apolearn
APTILINK,H55,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/aptilink
ARKHAM STUDIO,D100,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/arkham-studio
ARTICULATE / DISTRISOFT,D60,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/distrisoft-group
ARTS ET METIERS,E90,Silver,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/jenii-jumeaux-denseignements-numeriques-immersifs-et-interactifs
ASCENT FORMATION,N50,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/ascent-formation
ATTENSI,F98,Silver,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/attensi
AUDACE DIGITAL LEARNING,K52,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/audace-digital-learning
AUTRICE,C52,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/autrice
AVENIR CONSEIL,L70,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/avenir-conseil
AZIMUTS,M81,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/azimuts
BABER LEARNING,K82,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/baber-learning
BCDIPLOMA,J103,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/bcdiploma
BEALINK,B60,Platinum,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/bealink
BEEDEEZ,G80,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/beedeez
BIPED,F118,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/biped
BLIFY,K103,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/blify
BOOSTYOURIA,P71,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/boostyouria
BUSUU FOR BUSINESS,C95,Silver,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/busuu-for-business
CAMPUSNA,M45,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/campusna
CARDS,E40,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/cards
CARTOONBASE,A32,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/cartoonbase
CEGID,H30,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/cegid
CEGOS,F72,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/cegos
CENTRE INFFO,R76,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/centre-inffo
CERTIFICATIONS CLOE,F92,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/chambre-de-commerce-et-dindustrie-certifications-cloe
CERTIFOPAC,R73,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/certifopac
CHAMELAION,K94,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/chamelaion
CHAUFFE-SOURIS,D90,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/chauffe-souris
CHECKSUB,E110,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/checksub
CLASSILIO,K81,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/classilio
CLEONE FORMATION,D111,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/cleone-formation
CLIC CAMPUS,H114,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/clic-campus
COACHELLO,K51,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/coachello
COLLOCK,F110,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/collock
COMETE,K03,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/com%C3%A8te
CONTOURNEMENT,H100,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/contournement
CORNERSTONE,C30,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/cornerstone
CRAFTSTORY,H80,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/craftstory
CROSSKNOWLEDGE,B55,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/crossknowledge
D'UN SEUL GESTE,Q60,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/dun-seul-geste
DAWAN,E114,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/dawan-1
DEC,F101,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/dec
DEEL,F70,Silver,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/deel
DIDASK,H85,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/didask
DIGIFORMA,N61,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/digiforma
DIGITAL AND HUMAN,L86,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/digital-and-human
DOCEBO,F45,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/docebo
DOKEOS,B50,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/dokeos
E-CHARLEMAGNE,N81,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/e-charlemagne
E-LEARNING TOUCH',H95,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/e-learning-touch
E-TIPI LEARNING,F65,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/e-tipi-learning
EDFLEX,C80,Platinum,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/edflex
EDKO,H110,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/edko
EDTAKE,E75,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/edtake
EDTECH FRANCE,H103,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/edtech-france
EDTECH STATION WALLONIA,F100,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/edtech-station-wallonia
EDUNAO,C85,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/edunao
EDUSIGN,D96,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/edusign
EDZO,F116,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/edzo
"ELAO, TEST DE LANGUE",M86,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/elao
ELEO BY NOOUS,P52,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/noous
ELEPHORM,J101,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/elephorm
EN-JEUX D'ENTREPRISE,F114,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/en-jeux-dentreprise
ENI,F85,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/eni-1
ENOVATION,E52,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/enovation
EVALUO,J116,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/evaluo
EVENTS GAMES,N85,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/events-games
EXCENT XR,H93,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/excent-xr
EXPERQUIZ,C90,Silver,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/experquiz
FACE UP,F100,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/face-up
FIDAL FORMATIONS x CCD AGENCY,N52,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/fidal-formations
FILIZ,L30,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/filiz
FIRST GROUP,EXECUTIVE CLUB,Platinum,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/first-group-1
FLOWBOW,K71,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/flowbow
FORA FORMATION,M85,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/fora-formation
FORMALEARNING,E62,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/formalearning
FORMDEV,P40,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/formdev
FRELLO,L80,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/frello
FSO EDITION,P43,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/fso-edition
GERIP COMPETENCES,K102,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/gerip-competences
GLOWBL,F74,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/glowbl
GO1,G52,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/go1
GOFLUENT,F62,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/gofluent
GOODHABITZ,F76,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/goodhabitz
GOWIZAPP,J114,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/gowizapp-1
GROUPE AGAU,J107,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/groupe-agau
GUTENBERG TECHNOLOGY,F80,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/gutenberg-technology
HELLO ESCAPE,H69,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/hello-escape
HTC VIVE,Q61,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/htc-vive
I-LEARN by TIMLOG SOLUTIONS,K91,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/i-learn-by-timlog-solutions
I-OASIS,H65,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/i-oasis
ICDL FRANCE,K75,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/icdl-france
IL&DI,P82,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/ildi
IMMERSCIO.BIO,K111,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/immersciobio
INGENIUM DIGITAL LEARNING,K65,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/ingenium-digital-learning
INNOV' AKADEMY,H106,EdTech,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/innov-akademy
INSIGHTS,H60,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/insights
INTEACH,K74,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/inteach
INTELIXA,N70,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/intelixa
ISPRING,F42,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/ispring
ISTF,D70,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/istf
ITYCOM,K62,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/itycom-1
KLARA HR,E60,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/klara-hr
KNOWMORE,N74,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/knowmore
KOKOROE,E70,Gold,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/kokoroe
KORDA & COMPANY,M35,Standard,,https://www.learningtechnologiesfrance.com/en,https://www.learningtechnologiesfrance.com/exposants/korda-company
