company,stand,overview,address,website,detail_url
TU COMMENCES DEMAIN,Q50,"Tu Commences Demain
est un
logiciel tout-en-un
qui facilite la
gestion quotidienne des écoles & CFA
.
Il permet de gérer les
démarches administratives, pédagogiques et financières
: création des contrats, facturation, planification des cours et suivi des apprentis.
Sécurisez et accélérez vos financements
grâce à un logiciel complet et intuitif.","Wacano
14 rue soleillet
PARIS 20
ILE DE FRANCE
75020
France",https://www.tucommencesdemain.fr,https://www.learningtechnologiesfrance.com/exposants/-tu-commences-demain
2EMOTION - VIDEO IA,Q51,"Nouvelles
Plateforme IA vidéo des entreprises
2Emotion aide les équipes communication et formation à industrialiser la production de contenus vidéo, tout en conservant une qualité professionnelle et une cohérence de marque. Créez facilement des modules de formation, micro-learning, tutoriels et communications internes grâce à un outil en ligne simple d’utilisation, alimenté par l’IA. La plateforme réunit un studio vidéo complet, des templates prêts à l’emploi personnalisables, une Creative Suite IA pour générer et enrichir vos contenus, ainsi qu’un module d’avatars IA de qualité cinématographique.
Plateforme française, 2Emotion est sécurisée, conforme au RGPD et s’appuie sur des engagements d’IA responsable pour permettre à vos équipes de produire en toute confiance.","58 rue de la victoire
Paris
75009
France",https://www.2emotion.com/,https://www.learningtechnologiesfrance.com/exposants/2emotion-video-ia
33 TRUCS,H102,"33 Trucs est le seul outil de microlearning par stories, assisté par IA.
À la croisée des chemins entre storytelling et microlearning, voici
l'outil le plus
simple pour briefer, former, transformer et récolter des feedbacks.
Notre plateforme permet de
transformer tout support ou document existant en une story : un contenu court, interactif et hyper engageant
.
Cette story :
est
diffusable sur tous les canaux
de communication et de collaboration (sans installation ni login) ;
s'intègre naturellement
dans tous les LMS, LXP, apps métiers, intra/extranet...
permet de
suivre en temps réel l'engagement
de chaque apprenant et récolter ses feedbacks.
33 Trucs est largement utilisé - avant, pendant ou après une formation -
pour engager les apprenants, améliorer leur expérience ou augmenter le ROI d'un dispositif de formation
.
Nous sommes déjà présents auprès de grandes sociétés : Crédit Agricole, Allianz, Thales, Orange, Adeo, Randstad, LVMH, Lafarge, etc.","19 BD DU CENTRE QRT ND LIMITE
MARSEILLE
BOUCHES DU RHONE
13015
France",https://www.33trucs.fr,https://www.learningtechnologiesfrance.com/exposants/33-trucs
360LEARNING,C60,"Produits
Avec 360Learning, les équipes Formation deviennent des moteurs de réussite. L'IA et l'apprentissage collaboratif permettent d'identifier les écarts de compétences, de capturer les connaissances des experts et de les partager aux apprenants. Notre plateforme intègre une automatisation LMS avancée, des Académies d'apprentissage collaboratif, des outils pour une expérience d'apprentissage de qualité et un référentiel de compétences alimenté par l'IA. De la montée en compétences des employés à la formation des partenaires, tout se passe sur une seule plateforme.","12 RUE CHARLOT
PARIS
PARIS
75003
France",http://www.360learning.com,https://www.learningtechnologiesfrance.com/exposants/360learning
3E INNOVATION,J102,"Nouvelles
Créé en 2017 par deux passionnés de pédagogie, de technologie et d’innovation, 3E Innovation a vu le jour grâce à Catherine Mougin et Ludovic Messinger.
Spécialisée dans le digital learning et les solutions multimédias, nous mettons tout en œuvre pour que vous puissiez former vos équipes grâce aux formations en ligne.
Vous envisagez de former vos équipes sur une thématique précise ? Vous souhaitez offrir à vos collaborateurs une expérience de formation innovante et marquante ? 3E Innovation est votre solution. Quel que soit votre secteur – industrie, énergie, bio pharma, service etc. – nous pourrons créer la formation qui correspond à vos besoins. Avec nos modules de formations sur mesure ou sur étagère, nos capsules de réalité virtuelle ou encore nos learning games vous trouverez le format qui vous convient le mieux.
Avec des valeurs axées sur l’inclusion, nous mettons tout en œuvre pour que nos formations soient accessibles à tous.
Si vous voulez en apprendre plus sur nos solutions n’hésitez pas à venir à notre rencontre au stand J102 ou à nous contacter dès maintenant.","5 RUE DE LA LYRE
VIEUX-CHARMONT
DOUBS
25600
France",http://www.3e-innovation.com,https://www.learningtechnologiesfrance.com/exposants/3e-innovation
7SPEAKING SAS,F84,"Depuis 25 ans, 7Speaking redéfinit
les standards de la formation linguistique en entreprise. Expert reconnu avec
plus de 20 000 organisations accompagnées, 7Speaking allie technologie
intelligente et expertise pédagogique pour créer des parcours d’apprentissage à
fort impact.
La technologie au service de
l’excellence pédagogique
Les formations 7Speaking
appliquent le principe du « just in time learning » : proposer à chaque
apprenant les contenus dont il a besoin au moment précis où il peut les mettre
en pratique. Les algorithmes adaptatifs personnalisent chaque session d’apprentissage,
tandis que les partenariats avec Euronews et Associated Press enrichissent
quotidiennement la plateforme de contenus d’actualité pour des exercices
contextualisés.
Une formation alignée sur les
enjeux métiers
Tous les parcours intègrent le
vocabulaire et les spécificités de chaque secteur d’activité. L’apprentissage
se déploie à travers une variété de formats : vidéos d’actualité commentées,
exercices de vocabulaire et de phonétique, entraînements à la compréhension
orale et écrite, ainsi que des cours individuels et collectifs. La méthode CLIL
(content and language integrated learning) complète cette approche avec des
mises en situation professionnelles ciblées (présentation, négociation,
communication téléphonique, etc.), permettant une acquisition naturelle de la
langue en contexte métier.
Mesure et optimisation de
l’investissement formation
Pour transformer l’apprentissage
linguistique en véritable levier de performance, les entreprises ont besoin
d’indicateurs précis. C’est pourquoi 7Speaking a développé MILA (My Innovative
Learning Analytics), une plateforme propriétaire qui permet aux décideurs RH et
formation de cartographier le niveau de leurs équipes, de suivre leur
progression, d’identifier les points de blocage et de mesurer concrètement le
retour sur investissement de leurs formations.","32 rue de Ponthieu
Paris
75008
France",http://www.7speaking.com,https://www.learningtechnologiesfrance.com/exposants/7speaking
7TAPS MICROLEARNING,F111,"A performance activation system designed for L&D teams that prioritize impact over content production. Powered by cognitive science and microlearning, 7taps transforms knowledge into action directly within the workflow.
Endorsed by the five largest Fortune 500 companies.","700 S. Rosemary Avenue
Suite 204
West Palm Beach
FL
33401
United States",http://www.7taps.com,https://www.learningtechnologiesfrance.com/exposants/7taps-microlearning
8GAMELEARN,H107,"8GameLearn est la plateforme digitale 3D vous permettant de créer puis animer par vous même l’exploration de connaissances à travers le jeu, et ceci sans aucune compétence ni en 3D ni en code.
La plateforme est destinée aux Écoles, Organismes de formation et Entreprises ETI ou Grandes entreprises.
La plateforme dispose d’un campus virtuel pour chaque organisation permettant de créer les jeux et de les mettre à disposition des apprenants, en constituant des parcours pédagogiques d’apprentissages, de soutiens et de certifications.
La plateforme propose 2 modèles de jeux tout prêts avec décors et niveaux de jeu intégrés. Parmi eux, l’escape game, le labyrinthe. Tous les jeux sont multi-joueurs, et permettent ainsi un apprentissage seul ou en équipe. 2 autres jeux sont en préparation pour 2026, nous en parlerons sur le salon...
L’escape game permet de faire des jeux d’apprentissage, de certification, de révision des prérequis et des jeux de rôles. Le labyrinthe est bien adapté à des jeux de découverte et de prise de décisions.","99C Boulevard Constantin Descat,
 Euracreative by Plaine Images, 
La teinturerie
Tourcoing
59200
France",https://www.8gamelearn.com/,https://www.learningtechnologiesfrance.com/exposants/8gamelearn
ACADEMIC SOFTWARE,H112,"Nouvelles
Votre partenaire pour la transformation numérique dans l'
éducation
Academic Software aide les
établissements d'enseignement secondaire et sup
érieur dans leur pr
éparation pour l'avenir en
modernisant leur environment num
érique d'apprentissage
.
Nous offrons une gamme complète de services : licences logicielles, solutions bas
ées sur le cloud, gestion int
égrale des licences et assistance sur mesure.","Bouwstraat 14 Y PB 1
Lokeren
Oost-Vlaanderen
9160
Belgium",http://academicsoftware.eu,https://www.learningtechnologiesfrance.com/exposants/academic-software
AI CRAFTERS,H71,"Adresse
7 Rue du Val Content
Fontenay-aux-Roses
HAUTS-DE-SEINE
92260
France
Site Internet
http://www.aicrafters.com
Contactez-nous
Nom de famille *","7 Rue du Val Content
Fontenay-aux-Roses
HAUTS-DE-SEINE
92260
France",http://www.aicrafters.com,https://www.learningtechnologiesfrance.com/exposants/ai-crafters
