kind,date,start_time,end_time,time_range,room,session_type,duration,title,description,speakers,speaker_jobs,speaker_orgs,url
conference,2026-01-28,09:30,09:55,09:30 – 09:55,Salle de conférences Paris,Keynote d’Ouverture,25 min,Remettons l’humain au centre,,Sally Ann MOORE,Directrice des Conferences,Learning Technologies France,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/remettons-lhumain-au-centre
conference,2026-01-28,10:00,10:25,10:00 – 10:25,Salle de conférences Paris,Keynote,25 min,L’observatoire de l’exploration L&D : les signaux forts et tendances 2026,"Les résultats exclusifs de l’Observatoire du learning décryptés : ce qui évolue vraiment dans les pratiques, les leviers qui décuplent l’impact des dispositifs, et les priorités stratégiques des équip ...",Nicolas BOURGERIE | Solange DERREY WEHBE,CEO et fondateur | Directrice Communication & Marketing,Very Up | Very Up,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/lobservatoire-de-lexploration-ld-les-signaux-forts-et-tendances-2026
conference,2026-01-28,10:00,10:25,10:00 – 10:25,Salle de conférences Las Vegas,Étude de cas,25 min,Présentiel en formation : un retour guidé par l’impact et le lien humain,"Alors que le digital s’est imposé dans les dispositifs de formation, certaines entreprises réinvestissent le présentiel pour renforcer l’impact pédagogique et le lien social. À travers une étude de ca ...",Antoine LORNE,Directeur Commercial,Training Orchestra,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/pr%C3%A9sentiel-en-formation-un-retour-guid%C3%A9-par-limpact-et-le-lien-humain
conference,2026-01-28,10:00,10:25,10:00 – 10:25,Salle de conférences Londres,Atelier,25 min,Repenser l’évaluation linguistique en entreprise grâce à l’approche formative avec TOEIC Link et L'IA,"Dans un contexte ou l’anglais est plus que jamais un prérequis indispensable dans la vie professionnelle, le nouveau test TOEIC Link propose une approche innovante basé sur l’IA. Le test TOEIC Link ac ...",Laurence CARLINET,Secrétaire Générale,ETS EMEA,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/repenser-l%C3%A9valuation-linguistique-en-entreprise-gr-ce-%C3%A0-lapproche-formative-avec-toeic-link-et-lia
conference,2026-01-28,10:00,10:25,10:00 – 10:25,Salle de conférences Berlin,Keynote,25 min,L’IA rend les gens bêtes ? L’importance de l’engagement actif,"L’IA peut réellement améliorer l’apprentissage… à condition d’être utilisée de la bonne manière. Ce qui compte, ce n’est pas la technologie en soi, mais la façon dont elle s’appuie sur les sciences co ...",Philip MOORE,Directeur Produit et co-fondateur,Didask,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/lia-rend-les-gens-b%C3%AAtes-limportance-de-lengagement-actif
conference,2026-01-28,10:30,10:55,10:30 – 10:55,Salle de conférences Paris,Table ronde,25 min,Dans les coulisses des stratégies qui transforment le learning,"Ils explorent, expérimentent et transforment leurs organisations par la formation. Découvrez comment les Directions L&D d’Allianz, Sysco, la Fédération Française de Football et CANAL+ réinventent leur ...",Claudine BRAILLEUR | Hélène MONTEIL | Romuald NGUYEN | Bérengère VUAILLAT,Responsable département learning | Responsable du développement RH et des compétences | Responsable des dossiers spéciaux | Learning & Development Manager,Allianz | Sysco France | Fédération Française de Football | CANAL+,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/dans-les-coulisses-des-strat%C3%A9gies-qui-transforment-le-learning
conference,2026-01-28,10:30,10:55,10:30 – 10:55,Salle de conférences Berlin,Table ronde,25 min,Learning Fatigue : 3 stratégies gagnantes pour réengager,"La multiplication des contenus, l’IA générative qui accélère tout, la surcharge cognitive et l’infobésité pédagogique créent une learning fatigue massive. Comment restaurer l’engagement dans un enviro ...",Caroline COMTE | Julie THINÈS | Béatrice GHERARA | Romina CAVALLUCCI,Directrice de l’Académie | Global Education Director | CoFounder & Chief Learning Officer | Directrice Formation et Development Groupe,France Travail | Thales | Kokoroe | Carrefour,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/learning-fatigue-5-strat%C3%A9gies-pour-r%C3%A9enchanter-la-formation-en-entreprise
conference,2026-01-28,10:30,10:55,10:30 – 10:55,Salle de conférences Las Vegas,Étude de cas,25 min,Le ROI de l’IA chez Assystem : preuves concrètes par les chiffres et les projets,"L’intelligence artificielle n’est plus une promesse futuriste : elle génère déjà de la valeur tangible pour les entreprises, et Assystem en est la preuve.Dans cette conférence, découvrez comment le C ...",Alexandre LECT | Lionel CHAUSSADE,Co-founder et CEO | Group Head of Learning & Development,edtake | Assystem,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/le-roi-de-lia-chez-assystem-preuves-concr%C3%A8tes-par-les-chiffres-et-les-projets
conference,2026-01-28,10:30,10:55,10:30 – 10:55,Salle de conférences Londres,Étude de cas,25 min,Étude de cas d'une grande entreprise avec Speexx,,,,,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/%C3%A9tude-de-cas-dune-grande-entreprise-avec-speexx
conference,2026-01-28,11:30,11:55,11:30 – 11:55,Salle de conférences Berlin,Keynote,25 min,Learning Success Management : l’art de piloter l’expérience Apprenant,"Et si le Learning Success Management était le maillon manquant à vos projets formation ? Trop de dispositifs ambitieux peinent à produire l’impact attendu, faute d’une mesure réelle et d’actions pensé ...",Mathilde ISTIN,Directrice,ISTF,https://www.learningtechnologiesfrance.com/learning-technologies-paris-2026-conference-agenda/learning-success-management-lart-de-piloter-lexp%C3%A9rience-apprenant
